"row_mse_0.1_d_l2","row_sds_0.1_d_l2","row_mse_0.1_d_li","row_sds_0.1_d_li","row_mse_0.2_d_l2","row_sds_0.2_d_l2","row_mse_0.2_d_li","row_sds_0.2_d_li","row_mse_0.35_d_l2","row_sds_0.35_d_l2","row_mse_0.35_d_li","row_sds_0.35_d_li","row_mse_0.4_d_l2","row_sds_0.4_d_l2","row_mse_0.4_d_li","row_sds_0.4_d_li","row_mse_0.5_d_l2","row_sds_0.5_d_l2","row_mse_0.5_d_li","row_sds_0.5_d_li"
8.75e-05,2.17959430012361e-05,0.0002875,4.89955934938866e-05,0.00029375,4.39300048746051e-05,0.000875,0.000129343720295181,0.0082125,0.00174562087374335,0.0171875,0.00270294481430752,0.0936375,0.00692790354565353,0.08083125,0.00641713432352295,0.0010375,0.000169767554989971,0.0040625,0.00111125512008683
1e-04,2.30283093235919e-05,0.00031875,5.79090359045455e-05,0.00023125,3.03272866933694e-05,0.000925,0.000144468723678214,0.00861875,0.00179596241099081,0.01699375,0.00236368742205197,0.09086875,0.00699497528330266,0.09008125,0.00679958438249142,0.00095,0.000136607526006498,0.00449375,0.00116269260243304
9.375e-05,2.24293925801648e-05,0.00031875,4.90559552187524e-05,0.00031875,4.3965917412689e-05,0.0009375,0.000133693878058433,0.00840625,0.00167698922190299,0.0168,0.002428609466216,0.09673125,0.00693012140031515,0.08121875,0.00650378298399509,0.00103125,0.000152415059553798,0.00265,0.000470995882372788
1e-04,2.30283093235919e-05,0.0003625,5.34332633886761e-05,0.00031875,4.3965917412689e-05,0.00093125,0.000144199451080506,0.00839375,0.00169207094643,0.01806875,0.00276202740312824,0.0936125,0.00691088305562942,0.09025,0.00649004920138235,0.00104375,0.000151813272050592,0.0041375,0.00101991609998573
9.375e-05,2.24293925801648e-05,0.0003125,5.36690428610028e-05,3e-04,4.39524536495766e-05,0.00101875,0.000164918626628683,0.00825,0.00168226601326721,0.02039375,0.00267744116816124,0.09013125,0.00671576554575354,0.0895375,0.0065639435641721,0.001075,0.000166685604984626,0.00376875,0.000944542362533949
0.00010625,2.35953230042898e-05,0.00035,5.35365446789539e-05,0.0002625,3.78768938920431e-05,0.00100625,0.000135568097149169,0.0089,0.00178241798938658,0.01981875,0.00273540224210926,0.0942875,0.00688889791309689,0.08534375,0.00653879723185141,0.0012125,0.000210747377375632,0.0045,0.00126917116833997
9.375e-05,2.24293925801648e-05,0.000275,4.89149953253271e-05,0.0002875,3.81260866710509e-05,0.00105625,0.000152756397723482,0.00955625,0.00191673449731753,0.02,0.00268080414401833,0.09394375,0.00676159156574056,0.08863125,0.00655172392664594,0.0011375,0.000160732422417388,0.003325,0.000880523690593825
0.00010625,2.35953230042898e-05,0.00030625,4.3965917412689e-05,0.00026875,3.10981157472652e-05,0.00103125,0.000137727944667828,0.00965625,0.0018922892906397,0.01843125,0.00238897230702077,0.0986375,0.00696057496554775,0.0908125,0.00658225741591697,0.00114375,0.000158924087319396,0.00326875,0.000624864568660015
0.00011875,2.46423277752289e-05,0.00038125,5.74987648088675e-05,0.0003125,4.90599766931387e-05,0.00086875,0.000133219352322901,0.0098875,0.00184422085667141,0.01870625,0.00260902206453051,0.09478125,0.00695249241674698,0.0893625,0.00619570469186418,0.00121875,0.000181484957428232,0.0045125,0.00112136688888827
0.000125,2.51259453814803e-05,0.00033125,5.36359490011365e-05,0.00031875,4.3965917412689e-05,0.00103125,0.000139436263543273,0.01078125,0.00204460933189589,0.02148125,0.00279587052034611,0.0938125,0.0067703729447207,0.091075,0.0067218365884044,0.0013,0.000214617347995464,0.00363125,0.000862496111468325
